会社名,銘柄コード,業種,優先市場,決算月,会計基準,都道府県,時価総額,PBR,売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,PER(会予),負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
ほくほくフィナンシャルグループ,8377,銀行業,プライム（内国株式）,2025-03-31,,Toyama,471659970560.0,0.72712183,168682000000.0,,0.40025002,39072000000.0,0.24624,0.07044,0.03979996618255823,17.179487,15782541000000.0,,,1118836000000.0,3191879000000.0,2325744000000.0,2073043000000.0,4.3952065670077625
山陰合同銀行,8381,銀行業,プライム（内国株式）,2025-03-31,,Matsue,215674798080.0,0.69171536,113941000000.0,,0.14932999,18737000000.0,0.16081,0.055120002,0.036542518935162756,,8236870000000.0,,,1351161000000.0,1220745000000.0,1997843000000.0,-130416000000.0,-0.6046881747937232
鳥取銀行,8383,銀行業,スタンダード（内国株式）,2025-03-31,,Tottori,12962962432.0,0.26630282,13876000000.0,,0.20504999,1313000000.0,0.09144,0.02633,0.04336988762582672,,1058368000000.0,,,24056000000.0,93268000000.0,110962000000.0,69212000000.0,5.339211647265538
百十四銀行,8386,銀行業,プライム（内国株式）,2025-03-31,,Takamatsu,148354482176.0,0.44043824,71544000000.0,,0.36347,13700000000.0,0.19193001,0.04196,0.05705505595382912,,5425312000000.0,,,621791000000.0,861929000000.0,1215420000000.0,240138000000.0,1.6186770799085992
四国銀行,8387,銀行業,プライム（内国株式）,2025-03-31,,Kochi,61479927808.0,0.37120965,47083000000.0,,0.28183,6813000000.0,0.14563,0.04309,0.04742547586061411,,3214937000000.0,,,182830000000.0,178834000000.0,1021373000000.0,-3996000000.0,-0.06499682323114285
阿波銀行,8388,銀行業,プライム（内国株式）,2025-03-31,,Tokushima,145298309120.0,0.42699322,70472000000.0,,0.27394,13202000000.0,0.18283,0.03785,0.08303707345845276,,3690685000000.0,,,199514000000.0,427652000000.0,1035528000000.0,228138000000.0,1.5701352712341874
大分銀行,8392,銀行業,プライム（内国株式）,2025-03-31,,Oita,77184057344.0,0.37545967,69493000000.0,,0.25621,7555000000.0,0.10421,0.03496,0.046261808534763145,,4298142000000.0,,,386883000000.0,781091000000.0,1339212000000.0,394208000000.0,5.107375973292809
宮崎銀行,8393,銀行業,プライム（内国株式）,2025-03-31,,Miyazaki,77618601984.0,0.39756817,57870000000.0,,0.30243,9784000000.0,0.15613,0.05325,0.046573780090063896,,3882138000000.0,,,379012000000.0,828456000000.0,773296000000.0,449444000000.0,5.790416066662044
佐賀銀行,8395,銀行業,プライム（内国株式）,2025-03-31,,Saga,52107710464.0,0.43596086,47911000000.0,,0.13312,7496000000.0,0.12877,0.05258,0.03662108253322202,,3061413000000.0,,,6427000000.0,270964000000.0,581260000000.0,264537000000.0,5.076734280673538
琉球銀行,8399,銀行業,プライム（内国株式）,2025-03-31,,Naha,60588937216.0,0.42209315,60705000000.0,,0.19136,5751000000.0,0.09442,0.04437,0.046961261023443016,10.234969,2837690000000.0,,,19535000000.0,171575000000.0,687566000000.0,152040000000.0,2.5093689869154874
